"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
48 303.244347397863
49 303.2438477219835
50 303.2433775009054
51 303.2523870919574
52 303.2620135935958
53 303.2700933172338
54 303.2757990917325
55 303.2792753764673
56 303.2811918686878
57 303.2825503763788
58 303.2841812940402
59 303.2874089130174
60 303.2923107969553
61 303.3001654769066
62 303.3121247229125
63 303.3288559417049
64 303.3514255910861
65 303.3815613972785
66 303.4220067245914
67 303.4785150888829
68 303.5499351429513
69 303.6397591367825
70 303.7480969783673
71 303.8706946991118
72 304.0052647949938
73 304.1418119808229
74 304.2676393232884
75 304.3734743224774
76 304.4539040665821
77 304.5148097271277
78 304.5602326069509
79 304.594808794022
80 304.6216493512964
81 304.6431715356747
82 304.659844897294
83 304.6726837278677
84 304.682306505019
85 304.6891746924418
86 304.6941240878112
87 304.697173995949
88 304.6990363047903
89 304.6996921567462
90 304.699513135228
91 304.6986297139268
92 304.6973104830769
93 304.6956470769705
94 304.6938821075199
95 304.6918796904958
96 304.6897301113475
97 304.6875684958467
